[30, 116]
(42, 3)
(105, 7) | (87, 17)
(49, 5, 1, 1)
(50, 5, 1, 1)
(51, 5, 1, 1)
(52, 5, 1, 1)
(53, 5, 1, 1)
(54, 5, 1, 1)
(55, 5, 1, 1)
(56, 5, 1, 1)
(57, 5, 1, 1)
(58, 5, 1, 1)
(59, 5, 1, 1)
(60, 5, 1, 1)
(61, 5, 1, 1)
(62, 5, 1, 1)
(63, 5, 1, 1)
(64, 5, 1, 1)
(65, 5, 1, 1)
(66, 5, 1, 1)
(67, 5, 1, 1)
(68, 5, 1, 1)
(71, 5, 1, 1)
(103, 5, 1, 1)
(106, 5, 1, 1)
(113, 5, 1, 1)
(3, 6, 1, 1)
(6, 6, 1, 1)
(71, 6, 1, 1)
(73, 6, 1, 1)
(74, 6, 1, 1)
(75, 6, 1, 1)
(76, 6, 1, 1)
(77, 6, 1, 1)
(78, 6, 1, 1)
(79, 6, 1, 1)
(80, 6, 1, 1)
(81, 6, 1, 1)
(82, 6, 1, 1)
(83, 6, 1, 1)
(84, 6, 1, 1)
(85, 6, 1, 1)
(86, 6, 1, 1)
(88, 6, 1, 1)
(89, 6, 1, 1)
(90, 6, 1, 1)
(91, 6, 1, 1)
(92, 6, 1, 1)
(93, 6, 1, 1)
(94, 6, 1, 1)
(95, 6, 1, 1)
(96, 6, 1, 1)
(98, 6, 1, 1)
(99, 6, 1, 1)
(100, 6, 1, 1)
(101, 6, 1, 1)
(103, 6, 1, 1)
(113, 6, 1, 1)
(3, 7, 1, 1)
(6, 7, 1, 1)
(8, 7, 1, 1)
(9, 7, 1, 1)
(10, 7, 1, 1)
(11, 7, 1, 1)
(12, 7, 1, 1)
(13, 7, 1, 1)
(14, 7, 1, 1)
(15, 7, 1, 1)
(16, 7, 1, 1)
(17, 7, 1, 1)
(18, 7, 1, 1)
(19, 7, 1, 1)
(21, 7, 1, 1)
(22, 7, 1, 1)
(24, 7, 1, 1)
(25, 7, 1, 1)
(26, 7, 1, 1)
(27, 7, 1, 1)
(28, 7, 1, 1)
(29, 7, 1, 1)
(30, 7, 1, 1)
(31, 7, 1, 1)
(32, 7, 1, 1)
(33, 7, 1, 1)
(34, 7, 1, 1)
(35, 7, 1, 1)
(36, 7, 1, 1)
(37, 7, 1, 1)
(38, 7, 1, 1)
(39, 7, 1, 1)
(40, 7, 1, 1)
(41, 7, 1, 1)
(42, 7, 1, 1)
(43, 7, 1, 1)
(44, 7, 1, 1)
(45, 7, 1, 1)
(46, 7, 1, 1)
(48, 7, 1, 1)
(49, 7, 1, 1)
(50, 7, 1, 1)
(51, 7, 1, 1)
(52, 7, 1, 1)
(53, 7, 1, 1)
(54, 7, 1, 1)
(55, 7, 1, 1)
(56, 7, 1, 1)
(57, 7, 1, 1)
(58, 7, 1, 1)
(59, 7, 1, 1)
(60, 7, 1, 1)
(61, 7, 1, 1)
(62, 7, 1, 1)
(64, 7, 1, 1)
(65, 7, 1, 1)
(66, 7, 1, 1)
(67, 7, 1, 1)
(71, 7, 1, 1)
(96, 7, 1, 1)
(103, 7, 1, 1)
(106, 7, 1, 1)
(108, 7, 1, 1)
(109, 7, 1, 1)
(110, 7, 1, 1)
(111, 7, 1, 1)
(113, 7, 1, 1)
(3, 8, 1, 1)
(6, 8, 1, 1)
(24, 8, 1, 1)
(71, 8, 1, 1)
(74, 8, 1, 1)
(75, 8, 1, 1)
(76, 8, 1, 1)
(77, 8, 1, 1)
(78, 8, 1, 1)
(79, 8, 1, 1)
(80, 8, 1, 1)
(81, 8, 1, 1)
(82, 8, 1, 1)
(83, 8, 1, 1)
(84, 8, 1, 1)
(85, 8, 1, 1)
(86, 8, 1, 1)
(87, 8, 1, 1)
(88, 8, 1, 1)
(89, 8, 1, 1)
(90, 8, 1, 1)
(91, 8, 1, 1)
(93, 8, 1, 1)
(94, 8, 1, 1)
(96, 8, 1, 1)
(98, 8, 1, 1)
(100, 8, 1, 1)
(103, 8, 1, 1)
(106, 8, 1, 1)
(113, 8, 1, 1)
(71, 9, 1, 1)
(96, 9, 1, 1)
(98, 9, 1, 1)
(1, 10, 1, 1)
(2, 10, 1, 1)
(3, 10, 1, 1)
(4, 10, 1, 1)
(6, 10, 1, 1)
(7, 10, 1, 1)
(8, 10, 1, 1)
(9, 10, 1, 1)
(10, 10, 1, 1)
(11, 10, 1, 1)
(12, 10, 1, 1)
(13, 10, 1, 1)
(14, 10, 1, 1)
(15, 10, 1, 1)
(16, 10, 1, 1)
(17, 10, 1, 1)
(18, 10, 1, 1)
(19, 10, 1, 1)
(20, 10, 1, 1)
(21, 10, 1, 1)
(22, 10, 1, 1)
(23, 10, 1, 1)
(24, 10, 1, 1)
(25, 10, 1, 1)
(26, 10, 1, 1)
(27, 10, 1, 1)
(28, 10, 1, 1)
(29, 10, 1, 1)
(30, 10, 1, 1)
(31, 10, 1, 1)
(32, 10, 1, 1)
(33, 10, 1, 1)
(34, 10, 1, 1)
(35, 10, 1, 1)
(36, 10, 1, 1)
(37, 10, 1, 1)
(38, 10, 1, 1)
(39, 10, 1, 1)
(40, 10, 1, 1)
(41, 10, 1, 1)
(42, 10, 1, 1)
(43, 10, 1, 1)
(44, 10, 1, 1)
(45, 10, 1, 1)
(46, 10, 1, 1)
(47, 10, 1, 1)
(48, 10, 1, 1)
(49, 10, 1, 1)
(50, 10, 1, 1)
(51, 10, 1, 1)
(52, 10, 1, 1)
(53, 10, 1, 1)
(54, 10, 1, 1)
(55, 10, 1, 1)
(56, 10, 1, 1)
(57, 10, 1, 1)
(58, 10, 1, 1)
(59, 10, 1, 1)
(60, 10, 1, 1)
(61, 10, 1, 1)
(62, 10, 1, 1)
(63, 10, 1, 1)
(64, 10, 1, 1)
(65, 10, 1, 1)
(66, 10, 1, 1)
(67, 10, 1, 1)
(68, 10, 1, 1)
(69, 10, 1, 1)
(71, 10, 1, 1)
(96, 10, 1, 1)
(103, 10, 1, 1)
(104, 10, 1, 1)
(105, 10, 1, 1)
(106, 10, 1, 1)
(107, 10, 1, 1)
(109, 10, 1, 1)
(110, 10, 1, 1)
(111, 10, 1, 1)
(113, 10, 1, 1)
(6, 11, 1, 1)
(71, 11, 1, 1)
(103, 11, 1, 1)
(71, 12, 1, 1)
(0, 13, 1, 1)
(1, 13, 1, 1)
(2, 13, 1, 1)
(3, 13, 1, 1)
(4, 13, 1, 1)
(5, 13, 1, 1)
(6, 13, 1, 1)
(7, 13, 1, 1)
(8, 13, 1, 1)
(9, 13, 1, 1)
(10, 13, 1, 1)
(11, 13, 1, 1)
(12, 13, 1, 1)
(13, 13, 1, 1)
(14, 13, 1, 1)
(15, 13, 1, 1)
(16, 13, 1, 1)
(17, 13, 1, 1)
(18, 13, 1, 1)
(19, 13, 1, 1)
(20, 13, 1, 1)
(21, 13, 1, 1)
(22, 13, 1, 1)
(23, 13, 1, 1)
(24, 13, 1, 1)
(25, 13, 1, 1)
(26, 13, 1, 1)
(27, 13, 1, 1)
(28, 13, 1, 1)
(29, 13, 1, 1)
(30, 13, 1, 1)
(31, 13, 1, 1)
(32, 13, 1, 1)
(33, 13, 1, 1)
(34, 13, 1, 1)
(35, 13, 1, 1)
(36, 13, 1, 1)
(37, 13, 1, 1)
(38, 13, 1, 1)
(39, 13, 1, 1)
(40, 13, 1, 1)
(41, 13, 1, 1)
(42, 13, 1, 1)
(43, 13, 1, 1)
(44, 13, 1, 1)
(45, 13, 1, 1)
(46, 13, 1, 1)
(47, 13, 1, 1)
(48, 13, 1, 1)
(49, 13, 1, 1)
(50, 13, 1, 1)
(51, 13, 1, 1)
(52, 13, 1, 1)
(53, 13, 1, 1)
(54, 13, 1, 1)
(55, 13, 1, 1)
(56, 13, 1, 1)
(57, 13, 1, 1)
(58, 13, 1, 1)
(59, 13, 1, 1)
(60, 13, 1, 1)
(61, 13, 1, 1)
(62, 13, 1, 1)
(63, 13, 1, 1)
(64, 13, 1, 1)
(65, 13, 1, 1)
(66, 13, 1, 1)
(67, 13, 1, 1)
(68, 13, 1, 1)
(69, 13, 1, 1)
(70, 13, 1, 1)
(71, 13, 1, 1)
(72, 13, 1, 1)
(73, 13, 1, 1)
(74, 13, 1, 1)
(75, 13, 1, 1)
(76, 13, 1, 1)
(77, 13, 1, 1)
(78, 13, 1, 1)
(79, 13, 1, 1)
(80, 13, 1, 1)
(81, 13, 1, 1)
(82, 13, 1, 1)
(83, 13, 1, 1)
(84, 13, 1, 1)
(85, 13, 1, 1)
(86, 13, 1, 1)
(87, 13, 1, 1)
(88, 13, 1, 1)
(89, 13, 1, 1)
(90, 13, 1, 1)
(91, 13, 1, 1)
(92, 13, 1, 1)
(93, 13, 1, 1)
(94, 13, 1, 1)
(95, 13, 1, 1)
(96, 13, 1, 1)
(97, 13, 1, 1)
(98, 13, 1, 1)
(99, 13, 1, 1)
(100, 13, 1, 1)
(101, 13, 1, 1)
(102, 13, 1, 1)
(103, 13, 1, 1)
(104, 13, 1, 1)
(105, 13, 1, 1)
(106, 13, 1, 1)
(107, 13, 1, 1)
(108, 13, 1, 1)
(109, 13, 1, 1)
(111, 13, 1, 1)
(112, 13, 1, 1)
(113, 13, 1, 1)
(114, 13, 1, 1)
(115, 13, 1, 1)
(71, 14, 1, 1)
(91, 14, 1, 1)
(1, 15, 1, 1)
(2, 15, 1, 1)
(4, 15, 1, 1)
(5, 15, 1, 1)
(6, 15, 1, 1)
(7, 15, 1, 1)
(8, 15, 1, 1)
(9, 15, 1, 1)
(10, 15, 1, 1)
(11, 15, 1, 1)
(12, 15, 1, 1)
(13, 15, 1, 1)
(14, 15, 1, 1)
(15, 15, 1, 1)
(16, 15, 1, 1)
(17, 15, 1, 1)
(18, 15, 1, 1)
(19, 15, 1, 1)
(20, 15, 1, 1)
(21, 15, 1, 1)
(22, 15, 1, 1)
(23, 15, 1, 1)
(24, 15, 1, 1)
(25, 15, 1, 1)
(26, 15, 1, 1)
(27, 15, 1, 1)
(28, 15, 1, 1)
(29, 15, 1, 1)
(30, 15, 1, 1)
(31, 15, 1, 1)
(32, 15, 1, 1)
(33, 15, 1, 1)
(34, 15, 1, 1)
(35, 15, 1, 1)
(36, 15, 1, 1)
(37, 15, 1, 1)
(38, 15, 1, 1)
(39, 15, 1, 1)
(40, 15, 1, 1)
(41, 15, 1, 1)
(42, 15, 1, 1)
(43, 15, 1, 1)
(44, 15, 1, 1)
(45, 15, 1, 1)
(46, 15, 1, 1)
(47, 15, 1, 1)
(48, 15, 1, 1)
(49, 15, 1, 1)
(50, 15, 1, 1)
(51, 15, 1, 1)
(52, 15, 1, 1)
(53, 15, 1, 1)
(54, 15, 1, 1)
(55, 15, 1, 1)
(56, 15, 1, 1)
(57, 15, 1, 1)
(58, 15, 1, 1)
(59, 15, 1, 1)
(60, 15, 1, 1)
(61, 15, 1, 1)
(62, 15, 1, 1)
(63, 15, 1, 1)
(64, 15, 1, 1)
(65, 15, 1, 1)
(66, 15, 1, 1)
(67, 15, 1, 1)
(68, 15, 1, 1)
(69, 15, 1, 1)
(71, 15, 1, 1)
(91, 15, 1, 1)
(99, 15, 1, 1)
(3, 16, 1, 1)
(71, 16, 1, 1)
(73, 16, 1, 1)
(74, 16, 1, 1)
(75, 16, 1, 1)
(76, 16, 1, 1)
(78, 16, 1, 1)
(79, 16, 1, 1)
(80, 16, 1, 1)
(81, 16, 1, 1)
(82, 16, 1, 1)
(83, 16, 1, 1)
(84, 16, 1, 1)
(85, 16, 1, 1)
(86, 16, 1, 1)
(87, 16, 1, 1)
(88, 16, 1, 1)
(89, 16, 1, 1)
(91, 16, 1, 1)
(92, 16, 1, 1)
(93, 16, 1, 1)
(94, 16, 1, 1)
(95, 16, 1, 1)
(97, 16, 1, 1)
(98, 16, 1, 1)
(99, 16, 1, 1)
(100, 16, 1, 1)
(101, 16, 1, 1)
(102, 16, 1, 1)
(103, 16, 1, 1)
(105, 16, 1, 1)
(106, 16, 1, 1)
(107, 16, 1, 1)
(108, 16, 1, 1)
(109, 16, 1, 1)
(110, 16, 1, 1)
(111, 16, 1, 1)
(112, 16, 1, 1)
(113, 16, 1, 1)
(3, 17, 1, 1)
(4, 17, 1, 1)
(6, 17, 1, 1)
(7, 17, 1, 1)
(8, 17, 1, 1)
(10, 17, 1, 1)
(11, 17, 1, 1)
(12, 17, 1, 1)
(13, 17, 1, 1)
(14, 17, 1, 1)
(15, 17, 1, 1)
(16, 17, 1, 1)
(17, 17, 1, 1)
(18, 17, 1, 1)
(19, 17, 1, 1)
(20, 17, 1, 1)
(21, 17, 1, 1)
(22, 17, 1, 1)
(23, 17, 1, 1)
(24, 17, 1, 1)
(25, 17, 1, 1)
(26, 17, 1, 1)
(27, 17, 1, 1)
(28, 17, 1, 1)
(29, 17, 1, 1)
(30, 17, 1, 1)
(31, 17, 1, 1)
(32, 17, 1, 1)
(33, 17, 1, 1)
(34, 17, 1, 1)
(35, 17, 1, 1)
(36, 17, 1, 1)
(37, 17, 1, 1)
(38, 17, 1, 1)
(39, 17, 1, 1)
(40, 17, 1, 1)
(41, 17, 1, 1)
(42, 17, 1, 1)
(43, 17, 1, 1)
(44, 17, 1, 1)
(45, 17, 1, 1)
(46, 17, 1, 1)
(47, 17, 1, 1)
(48, 17, 1, 1)
(49, 17, 1, 1)
(50, 17, 1, 1)
(52, 17, 1, 1)
(53, 17, 1, 1)
(54, 17, 1, 1)
(55, 17, 1, 1)
(56, 17, 1, 1)
(57, 17, 1, 1)
(58, 17, 1, 1)
(59, 17, 1, 1)
(60, 17, 1, 1)
(61, 17, 1, 1)
(62, 17, 1, 1)
(63, 17, 1, 1)
(64, 17, 1, 1)
(65, 17, 1, 1)
(66, 17, 1, 1)
(67, 17, 1, 1)
(68, 17, 1, 1)
(71, 17, 1, 1)
(91, 17, 1, 1)
(3, 18, 1, 1)
(6, 18, 1, 1)
(10, 18, 1, 1)
(71, 18, 1, 1)
(91, 18, 1, 1)
(3, 19, 1, 1)
(6, 19, 1, 1)
(10, 19, 1, 1)
(12, 19, 1, 1)
(13, 19, 1, 1)
(14, 19, 1, 1)
(15, 19, 1, 1)
(16, 19, 1, 1)
(17, 19, 1, 1)
(18, 19, 1, 1)
(19, 19, 1, 1)
(20, 19, 1, 1)
(21, 19, 1, 1)
(22, 19, 1, 1)
(23, 19, 1, 1)
(24, 19, 1, 1)
(25, 19, 1, 1)
(26, 19, 1, 1)
(27, 19, 1, 1)
(28, 19, 1, 1)
(29, 19, 1, 1)
(30, 19, 1, 1)
(31, 19, 1, 1)
(32, 19, 1, 1)
(33, 19, 1, 1)
(34, 19, 1, 1)
(35, 19, 1, 1)
(36, 19, 1, 1)
(37, 19, 1, 1)
(38, 19, 1, 1)
(39, 19, 1, 1)
(40, 19, 1, 1)
(41, 19, 1, 1)
(42, 19, 1, 1)
(43, 19, 1, 1)
(44, 19, 1, 1)
(45, 19, 1, 1)
(46, 19, 1, 1)
(47, 19, 1, 1)
(48, 19, 1, 1)
(49, 19, 1, 1)
(50, 19, 1, 1)
(51, 19, 1, 1)
(52, 19, 1, 1)
(53, 19, 1, 1)
(54, 19, 1, 1)
(55, 19, 1, 1)
(56, 19, 1, 1)
(57, 19, 1, 1)
(58, 19, 1, 1)
(59, 19, 1, 1)
(60, 19, 1, 1)
(61, 19, 1, 1)
(62, 19, 1, 1)
(63, 19, 1, 1)
(64, 19, 1, 1)
(65, 19, 1, 1)
(66, 19, 1, 1)
(67, 19, 1, 1)
(71, 19, 1, 1)
(73, 19, 1, 1)
(74, 19, 1, 1)
(75, 19, 1, 1)
(76, 19, 1, 1)
(77, 19, 1, 1)
(78, 19, 1, 1)
(79, 19, 1, 1)
(80, 19, 1, 1)
(81, 19, 1, 1)
(82, 19, 1, 1)
(83, 19, 1, 1)
(84, 19, 1, 1)
(85, 19, 1, 1)
(86, 19, 1, 1)
(87, 19, 1, 1)
(88, 19, 1, 1)
(89, 19, 1, 1)
(90, 19, 1, 1)
(91, 19, 1, 1)
(92, 19, 1, 1)
(93, 19, 1, 1)
(94, 19, 1, 1)
(95, 19, 1, 1)
(96, 19, 1, 1)
(97, 19, 1, 1)
(98, 19, 1, 1)
(99, 19, 1, 1)
(100, 19, 1, 1)
(101, 19, 1, 1)
(102, 19, 1, 1)
(103, 19, 1, 1)
(104, 19, 1, 1)
(105, 19, 1, 1)
(106, 19, 1, 1)
(107, 19, 1, 1)
(108, 19, 1, 1)
(109, 19, 1, 1)
(111, 19, 1, 1)
(112, 19, 1, 1)
(113, 19, 1, 1)
(114, 19, 1, 1)
(3, 20, 1, 1)
(6, 20, 1, 1)
(10, 20, 1, 1)
(12, 20, 1, 1)
(56, 20, 1, 1)
(71, 20, 1, 1)
(91, 20, 1, 1)
(113, 20, 1, 1)
(3, 21, 1, 1)
(6, 21, 1, 1)
(10, 21, 1, 1)
(12, 21, 1, 1)
(13, 21, 1, 1)
(14, 21, 1, 1)
(15, 21, 1, 1)
(16, 21, 1, 1)
(17, 21, 1, 1)
(18, 21, 1, 1)
(19, 21, 1, 1)
(20, 21, 1, 1)
(21, 21, 1, 1)
(22, 21, 1, 1)
(23, 21, 1, 1)
(24, 21, 1, 1)
(25, 21, 1, 1)
(26, 21, 1, 1)
(27, 21, 1, 1)
(28, 21, 1, 1)
(29, 21, 1, 1)
(30, 21, 1, 1)
(31, 21, 1, 1)
(32, 21, 1, 1)
(33, 21, 1, 1)
(34, 21, 1, 1)
(36, 21, 1, 1)
(37, 21, 1, 1)
(38, 21, 1, 1)
(39, 21, 1, 1)
(40, 21, 1, 1)
(41, 21, 1, 1)
(42, 21, 1, 1)
(43, 21, 1, 1)
(44, 21, 1, 1)
(45, 21, 1, 1)
(46, 21, 1, 1)
(47, 21, 1, 1)
(48, 21, 1, 1)
(49, 21, 1, 1)
(50, 21, 1, 1)
(51, 21, 1, 1)
(52, 21, 1, 1)
(53, 21, 1, 1)
(54, 21, 1, 1)
(55, 21, 1, 1)
(56, 21, 1, 1)
(57, 21, 1, 1)
(58, 21, 1, 1)
(59, 21, 1, 1)
(60, 21, 1, 1)
(61, 21, 1, 1)
(62, 21, 1, 1)
(64, 21, 1, 1)
(65, 21, 1, 1)
(66, 21, 1, 1)
(71, 21, 1, 1)
(74, 21, 1, 1)
(75, 21, 1, 1)
(76, 21, 1, 1)
(77, 21, 1, 1)
(78, 21, 1, 1)
(79, 21, 1, 1)
(80, 21, 1, 1)
(81, 21, 1, 1)
(82, 21, 1, 1)
(83, 21, 1, 1)
(84, 21, 1, 1)
(85, 21, 1, 1)
(86, 21, 1, 1)
(87, 21, 1, 1)
(88, 21, 1, 1)
(89, 21, 1, 1)
(91, 21, 1, 1)
(113, 21, 1, 1)
(6, 22, 1, 1)
(10, 22, 1, 1)
(12, 22, 1, 1)
(56, 22, 1, 1)
(75, 22, 1, 1)
(78, 22, 1, 1)
(82, 22, 1, 1)
(94, 22, 1, 1)
(95, 22, 1, 1)
(96, 22, 1, 1)
(97, 22, 1, 1)
(98, 22, 1, 1)
(99, 22, 1, 1)
(100, 22, 1, 1)
(101, 22, 1, 1)
(102, 22, 1, 1)
(103, 22, 1, 1)
(104, 22, 1, 1)
(105, 22, 1, 1)
(106, 22, 1, 1)
(107, 22, 1, 1)
(108, 22, 1, 1)
(109, 22, 1, 1)
(110, 22, 1, 1)
(111, 22, 1, 1)
(3, 23, 1, 1)
(6, 23, 1, 1)
(10, 23, 1, 1)
(12, 23, 1, 1)
(14, 23, 1, 1)
(15, 23, 1, 1)
(16, 23, 1, 1)
(17, 23, 1, 1)
(18, 23, 1, 1)
(19, 23, 1, 1)
(20, 23, 1, 1)
(21, 23, 1, 1)
(22, 23, 1, 1)
(23, 23, 1, 1)
(24, 23, 1, 1)
(25, 23, 1, 1)
(26, 23, 1, 1)
(27, 23, 1, 1)
(28, 23, 1, 1)
(29, 23, 1, 1)
(30, 23, 1, 1)
(31, 23, 1, 1)
(32, 23, 1, 1)
(33, 23, 1, 1)
(34, 23, 1, 1)
(35, 23, 1, 1)
(36, 23, 1, 1)
(37, 23, 1, 1)
(39, 23, 1, 1)
(40, 23, 1, 1)
(41, 23, 1, 1)
(42, 23, 1, 1)
(43, 23, 1, 1)
(44, 23, 1, 1)
(45, 23, 1, 1)
(46, 23, 1, 1)
(47, 23, 1, 1)
(48, 23, 1, 1)
(49, 23, 1, 1)
(50, 23, 1, 1)
(51, 23, 1, 1)
(52, 23, 1, 1)
(53, 23, 1, 1)
(54, 23, 1, 1)
(56, 23, 1, 1)
(57, 23, 1, 1)
(58, 23, 1, 1)
(60, 23, 1, 1)
(61, 23, 1, 1)
(62, 23, 1, 1)
(63, 23, 1, 1)
(64, 23, 1, 1)
(65, 23, 1, 1)
(71, 23, 1, 1)
(75, 23, 1, 1)
(78, 23, 1, 1)
(80, 23, 1, 1)
(82, 23, 1, 1)
(83, 23, 1, 1)
(84, 23, 1, 1)
(85, 23, 1, 1)
(86, 23, 1, 1)
(87, 23, 1, 1)
(88, 23, 1, 1)
(91, 23, 1, 1)
(96, 23, 1, 1)
(113, 23, 1, 1)
(3, 24, 1, 1)
(6, 24, 1, 1)
(10, 24, 1, 1)
(31, 24, 1, 1)
(71, 24, 1, 1)
(78, 24, 1, 1)
(91, 24, 1, 1)
(96, 24, 1, 1)
(98, 24, 1, 1)
(100, 24, 1, 1)
(101, 24, 1, 1)
(102, 24, 1, 1)
(103, 24, 1, 1)
(104, 24, 1, 1)
(105, 24, 1, 1)
(106, 24, 1, 1)
(107, 24, 1, 1)
(108, 24, 1, 1)
(109, 24, 1, 1)
(110, 24, 1, 1)
(113, 24, 1, 1)
(3, 25, 1, 1)
(6, 25, 1, 1)
(10, 25, 1, 1)
(12, 25, 1, 1)
(56, 25, 1, 1)
(71, 25, 1, 1)
(75, 25, 1, 1)
(78, 25, 1, 1)
(82, 25, 1, 1)
(84, 25, 1, 1)
(85, 25, 1, 1)
(86, 25, 1, 1)
(87, 25, 1, 1)
(91, 25, 1, 1)
(113, 25, 1, 1)
(3, 26, 1, 1)
(6, 26, 1, 1)
(10, 26, 1, 1)
(12, 26, 1, 1)
(71, 26, 1, 1)
(75, 26, 1, 1)
(82, 26, 1, 1)
(91, 26, 1, 1)
(113, 26, 1, 1)
(3, 27, 1, 1)
(6, 27, 1, 1)
(10, 27, 1, 1)
(71, 27, 1, 1)
(78, 27, 1, 1)
(91, 27, 1, 1)
(92, 27, 1, 1)
(93, 27, 1, 1)
(94, 27, 1, 1)
(95, 27, 1, 1)
(97, 27, 1, 1)
(98, 27, 1, 1)
(99, 27, 1, 1)
(100, 27, 1, 1)
(101, 27, 1, 1)
(102, 27, 1, 1)
(103, 27, 1, 1)
(104, 27, 1, 1)
(105, 27, 1, 1)
(106, 27, 1, 1)
(107, 27, 1, 1)
(108, 27, 1, 1)
(109, 27, 1, 1)
(110, 27, 1, 1)
(111, 27, 1, 1)
(113, 27, 1, 1)
(6, 28, 1, 1)
(71, 28, 1, 1)
(91, 28, 1, 1)
(71, 29, 1, 1)
